player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,16,4,5,50,1,2,5,72,75.8,65.2,66.7,73.4,80.3,6,17,0,18,0,0,1,2,81.3,1,5,3,0,11,506,503,4,30,427,42,0,3,344,151,0,14,11,2,28,0,18,11,18
Terrell Suggs,1326,ED,BLT,17,9,5,55.6,1,1,3,55.8,69.5,50.5,73,63.3,44.3,7,43,0,31,22.2,8,0,4,81.7,5,8,4,1,71,789,776,0,1,769,6,0,13,468,250,8,21,19,9,58,0,72,59,14.4
Mike Adams,1972,S,CAR,16,14,0,79.4,0,0,5,42.1,49.2,66.2,67.3,61.8,82.2,2,6,3,75,5.2,4,2,1,121.6,27,0,238,13,566,938,98,0,0,98,0,471,840,32,340,118,18,59,34,8,5,446,155,16.5
Adam Jones,2223,CB,DEN,6,1,0,66.7,0,0,10,62.8,64.2,81.3,,68,44,0,0,1,30,23.1,3,2,1,54.9,10,0,9,133,102,148,0,0,0,0,0,0,148,0,46,6,2,9,15,0,0,90,62,9
Thomas Davis Sr.,2231,LB,CAR,12,15,1,76.6,0,0,5,74.4,73.9,86,74,62.9,66.9,2,5,0,28,9,7,5,0,110.2,36,0,486,10,330,649,115,0,0,115,0,0,534,67,252,38,29,56,47,7,2,340,214,9.4
Derrick Johnson,2232,LB,OAK,6,1,0,100,0,0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,1,0,11,21.1,4,0,0,106.9,3,0,130,3,89,152,2,0,0,2,0,3,150,12,51,14,6,14,3,1,0,29,3,9.7
Darren Sproles,2347,HB,PHI,3,0,0,,0,0,24,60.7,73.1,60,,60,,0,0,0,,,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Lorenzo Alexander,2476,LB,BUF,16,12,3,76.7,0,2,4,79.8,86.6,88.2,70.5,82.5,82.5,4,27,2,22,4.7,3,3,0,61.9,23,7,312,1,132,629,302,0,1,301,0,0,327,240,257,13,32,49,30,38,0,171,137,7.4
Haloti Ngata,2957,DI,PHI,15,6,1,,0,1,24,58.2,69.4,85.4,56.8,73.5,46.3,2,6,0,,10,2,0,0,0,0,1,0,0,2,421,420,10,378,1,31,0,1,240,179,0,11,12,0,9,0,0,0,
Johnathan Joseph,2969,CB,HST,15,6,0,57.3,0,0,13,81.1,80.8,87.5,55.3,69.6,35.9,0,0,2,48,17.3,13,7,1,76.5,51,0,75,770,567,881,4,0,0,4,0,3,877,3,311,29,22,56,89,0,2,610,181,12
Frostee Rucker,3036,ED,OAK,15,5,2,0,0,0,23,65.4,62,90.3,48.9,65.1,34.9,4,10,0,,19.6,9,0,0,39.6,0,0,0,0,6,550,550,1,20,474,55,0,0,232,312,0,22,32,1,14,0,0,0,
Domata Peko Sr.,3068,DI,DEN,16,9,2,,0,0,10,86.3,70.8,15.9,59,75.7,43.3,2,5,0,,11.1,4,0,7,0,0,1,0,0,0,523,522,347,174,0,1,0,1,261,262,0,19,23,0,8,0,0,0,
Kyle Williams,3079,DI,BUF,16,7,1,,0,1,4,62.8,70.6,64.8,65.5,69.2,56.8,7,19,0,,11.1,3,0,2,0,0,8,0,0,4,657,656,27,477,2,150,0,1,413,240,0,16,17,0,34,0,0,0,
Antoine Bethea,3152,S,ARZ,16,17,0,74.5,0,1,1,73.5,64.2,38.7,61.3,52,62.7,3,6,0,21,12.4,17,3,4,99.8,35,3,436,20,566,1111,161,0,0,161,0,336,950,46,499,158,31,103,47,12,2,242,147,6.9
Tom Johnson,3378,DI,MIN,14,3,0,,0,0,18,73.3,61.3,68,61.3,53.6,76.5,3,16,0,,0,0,0,1,0,0,5,2,0,1,381,379,15,314,1,49,0,2,251,129,0,12,17,0,24,0,0,0,
Tramon Williams,3558,S,GB,16,7,0,62.7,0,0,12,62.6,63.3,88.7,50.3,63.3,66.5,0,3,0,55,13.6,8,2,1,125.6,32,0,122,360,622,1062,4,0,0,4,0,383,1058,15,425,190,9,44,51,3,8,387,166,12.1
Brent Grimes,3589,CB,TB,13,6,0,69.2,1,1,30,61,61.3,86.6,60,58.1,71.9,0,0,0,43,9.6,5,5,3,116.3,36,0,72,670,449,791,13,0,0,13,0,0,778,1,341,36,5,41,52,0,3,465,139,12.9
Leon Hall,3634,CB,OAK,10,3,1,88,0,0,23,57.1,63.3,83.1,57.8,83.4,62.8,1,0,0,59,11.5,3,2,0,118.8,22,0,23,9,209,366,8,0,0,8,0,2,358,13,144,324,9,20,25,1,0,333,224,15.1
Reggie Nelson,3637,S,OAK,11,2,0,58.3,0,1,23,63.4,63.2,83.3,55.4,60.4,55.5,0,1,2,49,20.7,6,0,0,95.1,7,0,160,5,214,370,20,0,0,20,0,155,350,15,141,30,4,21,12,1,2,128,31,18.3
Eric Weddle,3653,S,BLT,17,7,1,56.3,1,0,3,78.6,82.3,90,70.9,86.3,84.9,3,3,0,22,6.4,5,3,1,63.4,18,1,271,13,671,1077,65,0,0,65,0,576,1012,37,369,152,26,66,32,7,0,111,45,6.2
Brandon Mebane,3701,DI,LAC,13,14,1,,0,1,27,68.2,61.8,61,56.4,62.4,67.2,2,4,0,,2.4,1,0,2,0,0,2,0,0,10,459,459,398,59,1,1,0,0,228,221,0,15,26,0,8,0,0,0,
Corey Graham,3784,S,PHI,15,12,1,75,0,0,24,64.5,65.9,85.8,55,67.9,73.5,0,3,1,27,10.4,7,3,2,82.5,15,0,130,4,542,794,22,0,0,22,0,535,772,17,235,102,10,48,20,3,1,106,46,7.1
Chris Long,4316,ED,PHI,18,6,0,100,0,2,24,51.6,75.4,79.6,71.4,69.5,52.6,18,35,0,2,25,6,0,1,79.2,1,9,0,0,6,685,685,0,6,671,8,0,0,506,173,0,13,12,1,62,0,2,2,2
Dominique Rodgers-Cromartie,4330,CB,OAK,5,1,0,60,0,0,23,75.1,67,80.2,,39.2,29.3,0,0,0,15,38.5,5,2,1,69.6,6,0,17,121,72,147,4,0,0,4,0,0,143,0,75,5,3,7,10,0,0,42,25,7
Aqib Talib,4334,CB,LA,11,5,0,63.6,1,2,26,75.2,76.6,85.2,60,70.8,89.9,1,0,1,50,0,0,3,2,87.7,28,0,53,449,345,567,4,0,0,4,0,1,563,1,221,60,5,31,44,1,1,364,147,13
Calais Campbell,4364,ED,JAX,16,11,2,100,0,1,15,74.8,90.9,56.6,70.4,93.6,67.8,11,31,0,4,7.5,5,0,5,83.3,1,11,3,0,2,816,813,22,72,515,204,0,3,502,312,0,57,51,1,53,0,4,9,4
William Hayes,4417,ED,MIA,3,0,0,,0,0,17,,79.8,81,67.9,79.1,74,0,0,0,,0,0,0,0,0,0,2,0,0,0,64,64,3,11,40,10,0,0,47,17,0,4,2,0,2,0,0,0,
Brandon Carr,4454,CB,BLT,17,6,0,56.6,1,0,3,71.9,70.8,65.8,52.2,66,68.5,1,3,2,51,10.3,6,9,5,70.6,47,0,99,571,613,931,17,0,0,17,0,1,914,16,302,242,15,46,83,4,0,625,282,13.3
