"","X","yearly_pff_id","pff_position"
"1",1,"2016_1010","ED"
"2",2,"2016_1019","ED"
"3",3,"2016_1251","ED"
"4",4,"2016_1321","CB"
"5",5,"2016_1326","ED"
"6",6,"2016_1447","ED"
"7",7,"2016_1637","DI"
"8",8,"2016_1724","WR"
"9",9,"2016_1729","SAF"
"10",10,"2016_1742","DI"
"11",11,"2016_1754","LB"
"12",12,"2016_1760","LB"
"13",13,"2016_1856","DI"
"14",14,"2016_1972","SAF"
"15",15,"2016_2223","CB"
"16",16,"2016_2228","ED"
"17",17,"2016_2231","LB"
"18",18,"2016_2232","LB"
"19",19,"2016_2276","DI"
"20",20,"2016_2347","HB"
"21",21,"2016_2363","ED"
"22",22,"2016_2476","ED"
"23",23,"2016_2945","ED"
"24",24,"2016_2946","ED"
"25",25,"2016_2953","SAF"
"26",26,"2016_2957","DI"
"27",27,"2016_2962","LB"
"28",28,"2016_2964","CB"
"29",29,"2016_2965","ED"
"30",30,"2016_2969","CB"
"31",31,"2016_2979","LB"
"32",32,"2016_2988","SAF"
"33",33,"2016_3002","WR"
"34",34,"2016_3008","ED"
"35",35,"2016_3036","DI"
"36",36,"2016_3060","SAF"
"37",37,"2016_3061","LB"
"38",38,"2016_3068","DI"
"39",39,"2016_3071","ED"
"40",40,"2016_3079","DI"
"41",41,"2016_3080","ED"
"42",42,"2016_3141","DI"
"43",43,"2016_3152","SAF"
"44",44,"2016_3378","DI"
"45",45,"2016_3423","DI"
"46",46,"2016_3558","CB"
"47",47,"2016_3589","CB"
"48",48,"2016_3630","CB"
"49",49,"2016_3631","LB"
"50",50,"2016_3634","CB"
"51",51,"2016_3635","SAF"
"52",52,"2016_3637","SAF"
"53",53,"2016_3649","DI"
"54",54,"2016_3650","LB"
"55",55,"2016_3653","SAF"
"56",56,"2016_3663","LB"
"57",57,"2016_3664","LB"
"58",58,"2016_3699","ED"
"59",59,"2016_3701","DI"
"60",60,"2016_3718","ED"
"61",61,"2016_3724","DI"
"62",62,"2016_3742","SAF"
"63",63,"2016_3784","SAF"
"64",64,"2016_3786","CB"
"65",65,"2016_4097","WR"
"66",66,"2016_4147","SAF"
"67",67,"2016_4316","ED"
"68",68,"2016_4319","DI"
"69",69,"2016_4325","CB"
"70",70,"2016_4330","CB"
"71",71,"2016_4334","CB"
"72",72,"2016_4349","CB"
"73",73,"2016_4354","CB"
"74",74,"2016_4364","DI"
"75",75,"2016_4368","ED"
"76",76,"2016_4380","DI"
"77",77,"2016_4391","DI"
"78",78,"2016_4406","ED"
"79",79,"2016_4407","LB"
"80",80,"2016_4414","CB"
"81",81,"2016_4417","ED"
"82",82,"2016_4427","SAF"
"83",83,"2016_4431","SAF"
"84",84,"2016_4454","CB"
"85",85,"2016_4457","CB"
"86",86,"2016_4466","DI"
"87",87,"2016_4467","WR"
"88",88,"2016_4481","ED"
"89",89,"2016_4504","DI"
"90",90,"2016_4583","LB"
"91",91,"2016_4654","DI"
"92",92,"2016_4656","LB"
"93",93,"2016_4763","ED"
"94",94,"2016_4888","LB"
"95",95,"2016_4907","ED"
"96",96,"2016_4926","DI"
"97",97,"2016_4930","WR"
"98",98,"2016_4936","ED"
"99",99,"2016_4937","SAF"
"100",100,"2016_4938","LB"
"101",101,"2016_4941","ED"
"102",102,"2016_4948","CB"
"103",103,"2016_4949","ED"
"104",104,"2016_4955","DI"
"105",105,"2016_4957","SAF"
"106",106,"2016_4958","LB"
"107",107,"2016_4961","LB"
"108",108,"2016_4964","CB"
"109",109,"2016_4965","SAF"
"110",110,"2016_4969","ED"
"111",111,"2016_4970","SAF"
"112",112,"2016_4980","ED"
"113",113,"2016_4984","CB"
"114",114,"2016_4985","DI"
"115",115,"2016_4993","ED"
"116",116,"2016_4999","LB"
"117",117,"2016_5004","DI"
"118",118,"2016_5006","WR"
"119",119,"2016_5011","SAF"
"120",120,"2016_5015","CB"
"121",121,"2016_5018","SAF"
"122",122,"2016_5035","SAF"
"123",123,"2016_5037","SAF"
"124",124,"2016_5055","CB"
"125",125,"2016_5101","CB"
"126",126,"2016_5109","HB"
"127",127,"2016_5112","CB"
"128",128,"2016_5127","CB"
"129",129,"2016_5140","CB"
"130",130,"2016_5156","WR"
"131",131,"2016_5168","DI"
"132",132,"2016_5173","DI"
"133",133,"2016_5188","DI"
"134",134,"2016_5232","DI"
"135",135,"2016_5273","ED"
"136",136,"2016_5310","LB"
"137",137,"2016_5349","ED"
"138",138,"2016_5422","LB"
"139",139,"2016_5442","LB"
"140",140,"2016_5527","DI"
"141",141,"2016_5528","DI"
"142",142,"2016_5530","SAF"
"143",143,"2016_5532","CB"
"144",144,"2016_5534","HB"
"145",145,"2016_5535","DI"
"146",146,"2016_5538","ED"
"147",147,"2016_5539","SAF"
"148",148,"2016_5540","ED"
"149",149,"2016_5541","ED"
"150",150,"2016_5544","LB"
"151",151,"2016_5545","CB"
"152",152,"2016_5551","DI"
"153",153,"2016_5552","SAF"
"154",154,"2016_5553","DI"
"155",155,"2016_5556","ED"
"156",156,"2016_5557","CB"
"157",157,"2016_5562","SAF"
"158",158,"2016_5563","SAF"
"159",159,"2016_5564","WR"
"160",160,"2016_5565","LB"
"161",161,"2016_5569","ED"
"162",162,"2016_5571","DI"
"163",163,"2016_5579","ED"
"164",164,"2016_5580","LB"
"165",165,"2016_5587","LB"
"166",166,"2016_5596","SAF"
"167",167,"2016_5603","LB"
"168",168,"2016_5605","DI"
"169",169,"2016_5607","DI"
"170",170,"2016_5615","LB"
"171",171,"2016_5624","ED"
"172",172,"2016_5627","LB"
"173",173,"2016_5628","CB"
"174",174,"2016_5634","SAF"
"175",175,"2016_5643","DI"
"176",176,"2016_5646","DI"
"177",177,"2016_5653","ED"
"178",178,"2016_5656","SAF"
"179",179,"2016_5659","SAF"
"180",180,"2016_5660","CB"
"181",181,"2016_5667","CB"
"182",182,"2016_5668","CB"
"183",183,"2016_5669","DI"
"184",184,"2016_5680","DI"
"185",185,"2016_5686","SAF"
"186",186,"2016_5687","CB"
"187",187,"2016_5701","ED"
"188",188,"2016_5712","ED"
"189",189,"2016_5718","WR"
"190",190,"2016_5736","ED"
"191",191,"2016_5740","ED"
"192",192,"2016_5745","WR"
"193",193,"2016_5753","DI"
"194",194,"2016_5761","DI"
"195",195,"2016_5767","SAF"
"196",196,"2016_5771","CB"
"197",197,"2016_5779","SAF"
"198",198,"2016_5803","SAF"
"199",199,"2016_5806","DI"
"200",200,"2016_5811","LB"
"201",201,"2016_5820","SAF"
"202",202,"2016_5839","DI"
"203",203,"2016_5903","CB"
"204",204,"2016_5906","SAF"
"205",205,"2016_5924","SAF"
"206",206,"2016_5943","CB"
"207",207,"2016_5945","ED"
"208",208,"2016_6013","SAF"
"209",209,"2016_6017","CB"
"210",210,"2016_6022","ED"
"211",211,"2016_6031","DI"
"212",212,"2016_6073","CB"
"213",213,"2016_6118","SAF"
"214",214,"2016_6154","ED"
"215",215,"2016_6155","DI"
"216",216,"2016_6156","WR"
"217",217,"2016_6157","CB"
"218",218,"2016_6158","WR"
"219",219,"2016_6163","DI"
"220",220,"2016_6165","DI"
"221",221,"2016_6166","ED"
"222",222,"2016_6168","ED"
"223",223,"2016_6170","DI"
"224",224,"2016_6171","CB"
"225",225,"2016_6172","ED"
"226",226,"2016_6176","ED"
"227",227,"2016_6179","CB"
"228",228,"2016_6182","ED"
"229",229,"2016_6183","DI"
"230",230,"2016_6186","SAF"
"231",231,"2016_6189","ED"
"232",232,"2016_6191","ED"
"233",233,"2016_6192","LB"
"234",234,"2016_6193","DI"
"235",235,"2016_6194","ED"
"236",236,"2016_6202","SAF"
"237",237,"2016_6205","DI"
"238",238,"2016_6217","DI"
"239",239,"2016_6220","LB"
"240",240,"2016_6222","ED"
"241",241,"2016_6229","DI"
"242",242,"2016_6236","LB"
"243",243,"2016_6238","DI"
"244",244,"2016_6241","CB"
"245",245,"2016_6243","LB"
"246",246,"2016_6245","SAF"
"247",247,"2016_6251","LB"
"248",248,"2016_6252","SAF"
"249",249,"2016_6255","ED"
"250",250,"2016_6265","CB"
"251",251,"2016_6273","SAF"
"252",252,"2016_6277","HB"
"253",253,"2016_6283","CB"
"254",254,"2016_6289","CB"
"255",255,"2016_6294","DI"
"256",256,"2016_6296","SAF"
"257",257,"2016_6305","WR"
"258",258,"2016_6306","CB"
"259",259,"2016_6314","ED"
"260",260,"2016_6316","CB"
"261",261,"2016_6317","ED"
