"","yearly_pff_id","pff_position_off"
"1","2016_9948","C"
"2","2016_10712","G"
"3","2016_9091","T"
"4","2016_7640","G"
"5","2016_6290","T"
"6","2016_6169","T"
"7","2016_10019","C"
"8","2016_9564","G"
"9","2016_7891","T"
"10","2016_5548","T"
"11","2016_8365","G"
"12","2016_3001","G"
"13","2016_8496","T"
"14","2016_4623","T"
"15","2016_4974","G"
"16","2016_4944","C"
"17","2016_8716","G"
"18","2016_9567","G"
"19","2016_6207","C"
"20","2016_8641","T"
"21","2016_8668","G"
"22","2016_5543","C"
"23","2016_5150","C"
"24","2016_3053","G"
"25","2016_9467","T"
"26","2016_9494","G"
"27","2016_6343","C"
"28","2016_8651","G"
"29","2016_3738","T"
"30","2016_7812","C"
"31","2016_3155","T"
"32","2016_9442","T"
"33","2016_5598","G"
"34","2016_8699","C"
"35","2016_9500","G"
"36","2016_5426","T"
"37","2016_7062","G"
"38","2016_8678","C"
"39","2016_4397","C"
"40","2016_9126","G"
"41","2016_3459","T"
"42","2016_7431","T"
"43","2016_5229","G"
"44","2016_8727","G"
"45","2016_2148","T"
"46","2016_4972","C"
"47","2016_10650","T"
"48","2016_7032","G"
"49","2016_7783","T"
"50","2016_7041","T"
"51","2016_9482","C"
"52","2016_9566","G"
"53","2016_6174","T"
"54","2016_8841","C"
"55","2016_10642","T"
"56","2016_7099","C"
"57","2016_5531","T"
"58","2016_8746","C"
"59","2016_2298","G"
"60","2016_3000","T"
"61","2016_9514","G"
"62","2016_9438","G"
"63","2016_8730","G"
"64","2016_9446","T"
"65","2016_6215","T"
"66","2016_5570","G"
"67","2016_5542","G"
"68","2016_9677","T"
"69","2016_7945","T"
"70","2016_3619","T"
"71","2016_7846","G"
"72","2016_7229","T"
"73","2016_7689","T"
"74","2016_5117","C"
"75","2016_10652","C"
"76","2016_8701","T"
"77","2016_3741","G"
"78","2016_8880","T"
"79","2016_10690","C"
"80","2016_6499","C"
"81","2016_8654","T"
"82","2016_6177","G"
"83","2016_7792","G"
"84","2016_7078","G"
"85","2016_8646","T"
"86","2016_5641","C"
"87","2016_7642","G"
"88","2016_6244","T"
"89","2016_5032","G"
"90","2016_8784","G"
"91","2016_10789","G"
"92","2016_8834","G"
"93","2016_6253","G"
"94","2016_5410","T"
"95","2016_9137","T"
"96","2016_9490","T"
"97","2016_10665","G"
"98","2016_8230","G"
"99","2016_7950","T"
"100","2016_9457","T"
"101","2016_6198","G"
"102","2016_4340","T"
"103","2016_7112","T"
"104","2016_5558","G"
"105","2016_5616","G"
"106","2016_8728","C"
"107","2016_6161","T"
"108","2016_3702","G"
"109","2016_8637","T"
"110","2016_7029","T"
"111","2016_9543","T"
"112","2016_5372","G"
"113","2016_7338","G"
"114","2016_9659","T"
"115","2016_6201","T"
"116","2016_10647","G"
"117","2016_8828","G"
"118","2016_2424","C"
"119","2016_3644","T"
"120","2016_10640","T"
"121","2016_6324","G"
"122","2016_10110","G"
"123","2016_7853","G"
"124","2016_8713","C"
"125","2016_8796","C"
"126","2016_5529","T"
"127","2016_6315","C"
"128","2016_5847","T"
"129","2016_11282","T"
"130","2016_7898","G"
"131","2016_4329","T"
"132","2016_4544","T"
"133","2016_9305","T"
"134","2016_8711","C"
"135","2016_10729","C"
"136","2016_7800","G"
"137","2016_4379","G"
"138","2016_7076","T"
"139","2016_4449","G"
"140","2016_10662","G"
"141","2016_9452","C"
"142","2016_9461","G"
"143","2016_3735","G"
"144","2016_9454","T"
"145","2016_8694","G"
"146","2016_7144","G"
"147","2016_8808","C"
"148","2016_7045","T"
"149","2016_9535","T"
"150","2016_8088","T"
"151","2016_7693","T"
"152","2016_6200","G"
"153","2016_9688","G"
"154","2016_10802","G"
"155","2016_9648","G"
"156","2016_5728","G"
"157","2016_1384","TE"
"158","2016_5594","T"
"159","2016_4375","TE"
"160","2016_4951","C"
"161","2016_5586","G"
"162","2016_9221","C"
"163","2016_10764","G"
"164","2016_4326","T"
"165","2016_9593","TE"
"166","2016_5692","T"
"167","2016_3675","C"
"168","2016_7808","WR"
"169","2016_7904","C"
"170","2016_7169","G"
"171","2016_7915","TE"
"172","2016_3647","TE"
"173","2016_5546","TE"
"174","2016_10769","QB"
"175","2016_8277","G"
"176","2016_9132","G"
"177","2016_5002","C"
"178","2016_4317","QB"
"179","2016_6199","TE"
"180","2016_5718","WR"
"181","2016_8700","TE"
"182","2016_7059","QB"
"183","2016_2974","C"
"184","2016_4455","TE"
"185","2016_7801","G"
"186","2016_6326","TE"
"187","2016_7888","TE"
"188","2016_4789","T"
"189","2016_10798","T"
"190","2016_1732","QB"
"191","2016_9861","C"
"192","2016_9315","C"
"193","2016_7786","T"
"194","2016_9434","QB"
"195","2016_2998","TE"
"196","2016_8679","T"
"197","2016_8189","G"
"198","2016_6195","TE"
"199","2016_6187","QB"
"200","2016_1722","QB"
"201","2016_7856","T"
"202","2016_10636","QB"
"203","2016_9505","G"
"204","2016_1725","QB"
"205","2016_802","QB"
"206","2016_9435","QB"
"207","2016_7636","T"
"208","2016_6468","WR"
"209","2016_8647","WR"
"210","2016_698","QB"
"211","2016_8671","QB"
"212","2016_7844","TE"
"213","2016_8698","WR"
"214","2016_10674","WR"
"215","2016_8071","G"
"216","2016_9437","WR"
"217","2016_5602","WR"
"218","2016_2951","TE"
"219","2016_9501","TE"
"220","2016_7102","QB"
"221","2016_6366","T"
"222","2016_7923","G"
"223","2016_8520","TE"
"224","2016_9304","G"
"225","2016_1724","WR"
"226","2016_6332","QB"
"227","2016_2241","QB"
"228","2016_7077","QB"
"229","2016_8051","T"
"230","2016_6597","WR"
"231","2016_8921","T"
"232","2016_8638","QB"
"233","2016_6153","QB"
"234","2016_1317","QB"
"235","2016_8696","WR"
"236","2016_4332","QB"
"237","2016_2218","QB"
"238","2016_5526","QB"
"239","2016_10713","G"
"240","2016_4924","QB"
"241","2016_9830","G"
"242","2016_10655","WR"
"243","2016_5595","TE"
"244","2016_8670","G"
"245","2016_6274","T"
"246","2016_7823","T"
"247","2016_7816","TE"
"248","2016_3064","WR"
"249","2016_8677","WR"
"250","2016_7274","TE"
"251","2016_10669","TE"
"252","2016_5156","WR"
