"","formation","graph_x","graph_y"
"1","QB",50,15
"2","LT",40,25
"3","LG",45,25
"4","OC",50,25
"5","RG",55,25
"6","RT",60,25
"7","HB R",55,10
"8","HB L",45,10
"9","HB C",50,10
"10","FB R",55,20
"11","FB L",45,20
"12","FB C",50,20
"13","LWR",10,25
"14","RWR",90,25
"15","SLWR",20,20
"16","SRWR",80,20
"17","TE L",35,20
"18","TE R",65,20
"19","ROLB",35,35
"20","RE",42.5,35
"21","NT",50,35
"22","LE",57.5,35
"23","LOLB",65,35
"24","RILB",45,40
"25","MLB",50,40
"26","LILB",55,40
"27","RCB",10,35
"28","LCB",90,35
"29","SRCB",20,35
"30","SLCB",80,35
"31","RFS",35,50
"32","CFS",50,50
"33","LFS",65,50
